slug,language,image_source,colliding_query,repeat_count,affected_headings,cause
guam-travel-guide-for-korean-travelers-2024,ko,본문 섹션(###) 이미지 캐러셀,Guam shopping market,2,면세 쇼핑의 천국 | 괌 프리미엄 아울렛과 현지 쇼핑,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
seoul-shopping-guide-en,en,본문 섹션(###) 이미지 캐러셀,Seoul shopping market,2,Wholesale Markets for Bulk Buyers | Namdaemun Market: Traditional Market Shopping in Seoul,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
london-food-guide-en,en,본문 섹션(###) 이미지 캐러셀,London shopping market,2,Maltby Street Market | Brick Lane Market and Bagel Shops,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
barcelona-sagrada-familia-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Barcelona nature park,2,유네스코 세계문화유산 등재 | 에이샴플레 지구 산책,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
fukuoka-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Fukuoka temple shrine,2,Dazaifu Tenmangu Shrine | Kushida Shrine,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
fukuoka-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Fukuoka nature park,2,"Ohori Park and Fukuoka Castle Ruins | Day 2: Ohori Park, Tenjin, and Castle Ruins",itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
seoul-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,Seoul restaurant,2,Gimbap Shops and Bunsikjip Restaurants | Convenience Store Dining,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
seoul-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,Seoul art gallery,2,Hongdae Street Art and Busking Scene | Visit Lotte Mart or Homeplus for Groceries,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bangkok-thailand-complete-travel-guide,ko,본문 섹션(###) 이미지 캐러셀,Bangkok food cuisine,2,반드시 맛봐야 할 태국 음식 | 방콕의 대표 먹거리 거리,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bangkok-massage-spa-ko,ko,본문 섹션(###) 이미지 캐러셀,Bangkok culture tradition,2,타이 전통 마사지란 | 팁 문화,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
sapporo-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Sapporo nature park,2,Odori Park and the Sapporo TV Tower | Maruyama Park and Hokkaido Shrine,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
berlin-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Berlin art gallery,2,"East Side Gallery | Day 3: Charlottenburg, Tiergarten, and Local Neighborhoods",itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
vienna-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Vienna museum,2,The Kunsthistorisches Museum | Vienna Card and Museum Passes,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
da-nang-beach-guide-en,en,본문 섹션(###) 이미지 캐러셀,Da Nang local market,2,Budget Guesthouses and Hostels | Currency and Payments,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
cebu-diving-snorkeling-ko,ko,본문 섹션(###) 이미지 캐러셀,Cebu transportation,2,모알보알 이동 방법 | 말라파스쿠아 이동 방법,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
los-angeles-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Los Angeles beach ocean,2,Santa Monica Beach and the Santa Monica Pier | Venice Beach,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
hanoi-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Hanoi art gallery,2,Explore the Hanoi Old Quarter | Day 1: The Old Quarter and Hoan Kiem Lake,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
hanoi-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Hanoi temple shrine,2,Visit Hoan Kiem Lake and Ngoc Son Temple | Discover the Temple of Literature,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
osaka-street-food-guide-en,en,본문 섹션(###) 이미지 캐러셀,Osaka shopping market,2,Kuromon Ichiba Market | Tenjinbashisuji Shopping Street,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bali-seminyak-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Bali nightlife,2,포테이토 헤드 비치 클럽 | 쿠데타 비치 클럽,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bali-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Bali temple shrine,2,Visit Tanah Lot Temple | Purify at Tirta Empul Temple,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
osaka-usj-guide-en,en,본문 섹션(###) 이미지 캐러셀,Day Studio Pass Osaka,2,Standard 1-Day Studio Pass | 2-Day Studio Pass,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
boracay-resort-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Boracay resort pool,2,"럭셔리 리조트 (1박 15,000페소 이상) | 중급 리조트 (1박 5,000~15,000페소)",itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
london-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,London local market,2,Currency and Payments | London on a Budget,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
london-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,London museum,2,"Visit the British Museum | Day 3: The British Museum, East London, and a West End Show",itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
kyoto-temples-guide-en,en,본문 섹션(###) 이미지 캐러셀,Kyoto temple shrine,2,The Difference Between Temples and Shrines | Temple Etiquette for International Visitors,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
vancouver-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Granville Island Vancouver,2,"Granville Island | Day 2: Granville Island, Gastown, and Yaletown",itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
fukuoka-travel-guide-for-korean-travelers-2024,ko,본문 섹션(###) 이미지 캐러셀,Fukuoka travel,2,식당 이용 팁 | 여행 전 준비사항,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
fukuoka-travel-guide-for-korean-travelers-2024,ko,본문 섹션(###) 이미지 캐러셀,Fukuoka shopping market,2,주요 쇼핑 지역 | 면세 쇼핑 및 반출 주의사항,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bangkok-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Bangkok shopping market,2,"Discover the Chatuchak Weekend Market | Day 2: Temples, Markets, and Modern Bangkok",itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
amsterdam-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Amsterdam museum,2,Visit the Rijksmuseum | Visit the Van Gogh Museum,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
chiang-mai-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Chiang Mai art gallery,2,Wat Chedi Luang — Ancient Ruins at the Heart of the Old City | Lanna Arts and Craftsmanship,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
kyoto-day-trips-en,en,본문 섹션(###) 이미지 캐러셀,Kyoto temple shrine,2,Kasuga Taisha Shrine and Naramachi | Miyajima Island and Itsukushima Shrine,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
kuala-lumpur-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Kuala Lumpur nature park,2,Petronas Twin Towers and KLCC Park | Kuala Lumpur Bird Park and the Lake Gardens,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
new-york-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,New York adventure,2,Walking as a Free Activity | Iconic Free Experiences,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
shanghai-china-complete-travel-guide,ko,본문 섹션(###) 이미지 캐러셀,Shanghai art gallery,2,타이캉루 예술 거리 (田子坊) | M50 창의 예술 단지,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
seoul-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Seoul airport,2,Airport Limousine Bus | Taxi from Incheon Airport,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
seoul-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Money Card Seoul,2,Where to Buy and Load a T-Money Card | Refunding a T-Money Card,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
busan-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Option Busan,2,Option 2: Domestic Flight | Option 3: Express Bus,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
busan-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Busan beach ocean,2,Gwangalli Beach and Gwangan Bridge | Pajeon (파전) — Korean Seafood Scallion Pancake,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
busan-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Busan nature park,2,"Milmyeon (밀면) — Busan's Signature Cold Noodles | Day 3: Temples, Nature, and Scenic Views",itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
jeju-island-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Jeju Island beach ocean,2,Haemul Ttukbaegi (해물뚝배기) — Seafood Hot Pot | Discover Jeju's Beaches,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
paris-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Paris local market,2,Getting Around Paris on a Budget | Currency,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
paris-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Afternoon Paris,2,Afternoon: Trocadéro and the Seine River | Afternoon: Tuileries Garden and the Marais District,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
paris-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Germain Paris,2,Afternoon: Saint-Germain-des-Prés and Luxembourg Gardens | Evening: A Budget Farewell Dinner in Saint-Germain,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
guam-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Guam nature park,2,"War in the Pacific National Historical Park | Day 3: North Guam, Nature, and Departure",itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
tokyo-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Tokyo culture tradition,2,Day 1: East Tokyo — History and Tradition | Day 2: West Tokyo — Modern Culture and Views,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
incheon-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Money Incheon,2,How to Use T-Money | Recharging T-Money,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
nami-island-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Step Nami Island,2,Step 3: Gapyeong Station to Nami Island Dock | Step 4: Ferry to Nami Island,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
fukuoka-day-trip-ko,ko,본문 섹션(###) 이미지 캐러셀,Fukuoka metro subway,2,지하철 1일권 활용 | 니시테츠 버스와 전철,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
paris-first-timers-guide-en,en,본문 섹션(###) 이미지 캐러셀,Paris museum,2,The Louvre Museum | Dress Code and Museum Etiquette,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
kyoto-kimono-experience-ko,ko,본문 섹션(###) 이미지 캐러셀,Kyoto temple shrine,2,사찰·신사 방문 시 매너 | 반나절 코스 추천,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
paris-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,Paris museum,2,Public Holidays and Free Museum Days | Free Museums and Galleries,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
barcelona-beach-food-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Barcelona restaurant,2,Restaurante 7 Portes | 관광객 함정 레스토랑 피하는 법,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
sapporo-winter-guide-en,en,본문 섹션(###) 이미지 캐러셀,Sapporo nature park,2,Odori Park and TV Tower | Shiroi Koibito Park,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
sapporo-winter-guide-en,en,본문 섹션(###) 이미지 캐러셀,Sapporo resort pool,2,Sapporo Teine Ski Resort | Kokusai Ski Resort,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
taipei-best-restaurants-ko,ko,본문 섹션(###) 이미지 캐러셀,Taipei food cuisine,2,대만 음식의 특징 | 타이베이 음식 여행 전 알아둘 점,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
taipei-best-restaurants-ko,ko,본문 섹션(###) 이미지 캐러셀,Taipei shopping market,2,스린 야시장 (士林夜市) | 닝샤 야시장 (寧夏夜市),itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bali-ubud-guide-en,en,본문 섹션(###) 이미지 캐러셀,Bali temple shrine,2,Tirta Empul Temple | Dress Code and Temple Etiquette,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bali-ubud-guide-en,en,본문 섹션(###) 이미지 캐러셀,Bali local market,2,Budget and Midrange Options | Currency and Payment,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
amsterdam-complete-guide-en,en,본문 섹션(###) 이미지 캐러셀,Amsterdam museum,2,The Rijksmuseum | Van Gogh Museum,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
amsterdam-complete-guide-en,en,본문 섹션(###) 이미지 캐러셀,Amsterdam food cuisine,2,Dutch Cuisine and Local Specialties | Indonesian Food in Amsterdam,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
rome-best-restaurants-ko,ko,본문 섹션(###) 이미지 캐러셀,Rome culture tradition,2,코페르토와 팁 문화 | 로마식 에스프레소 문화,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
prague-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,Prague local market,2,Daily Budget Estimates | Walking as a Budget Strategy,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
melbourne-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Melbourne shopping market,2,"Explore Queen Victoria Market | Day 2: Markets, Gardens, and St Kilda",itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
toronto-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Toronto shopping market,2,St. Lawrence Market | Kensington Market,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bangkok-temples-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Bangkok transportation,2,대중교통 이용법 | 왓 아룬 이동 방법,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
athens-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Athens shopping market,2,Monastiraki and the Flea Market | Exploring Athens' Central Market,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
kyoto-temples-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Kyoto nature park,2,니넨자카·산넨자카 돌계단 거리 | 예산 계획,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
dubai-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,Dubai shopping market,2,Local Markets and Grocery Shopping | Carry Cash for Local Markets,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
seoul-insadong-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Seoul metro subway,2,지하철 이용 | 버스 및 기타 교통,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
seoul-insadong-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Seoul shopping market,2,추천 쇼핑 품목 | 쇼핑 시 유의 사항,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
copenhagen-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Copenhagen nature park,2,"Tivoli Gardens — The World's Second Oldest Amusement Park | Day 2: Museums, Parks, and Freetown Christiania",itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
jeonju-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Option Jeonju,2,Option 2: KTX Train via Seoul or Iksan | Option 3: Express Bus from Seoul,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
tokyo-shinjuku-guide-en,en,본문 섹션(###) 이미지 캐러셀,Tokyo airport,2,From Narita International Airport | From Haneda Airport,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bali-temples-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Bali temple shrine,2,발리 힌두교와 사원 문화의 배경 | 방문 시 알아야 할 복장 및 예절 규정,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
tokyo-cherry-blossom-guide-en,en,본문 섹션(###) 이미지 캐러셀,Tokyo beach ocean,2,Getting Around Tokyo During Sakura Season | Dining During Cherry Blossom Season,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
